DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
;300052;INSTIT.;ASS BENEFICENTE CRIANCA FELIZ;;SAO MIGUEL;;RUA BAIARDO MEDEIROS;365   ;JARDIM DAS CAMÉLIAS;08050330;;;;Ativa;87;VILA JACUI;8706;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;-23509466;-46459506;;28-dez-17
;300053;INSTIT.;ASSISTENCIA SOCIAL LAR DITOSO;;;;RUA GIOVANNI QUADRI;60    ;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;08255500;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300054;INSTIT.;ASS A CRIANCAS AO ADOLESCENTE E JOVENS DO ICARAI ICAJI;;CAPELA DO SOCORRO;;RUA LAGOA DA TOCHA;573   ;JARDIM DOS MANACÁS;04844080;;;;Ativa;30;GRAJAU;3003;;;;22-jan-11;702;21-jan-11;;;ASS A CRIANCAS AO ADOLESCENTE E JOVENS DO ICA;;;;;;;;;;;;;;;;;;;;;;;-23750253;-46706398;;28-dez-17
;300056;INSTIT.;ASS BENEFICENTE DE AMURT AMURTEL;;;;RUA GENERAL NESTOR PASSOS;161   ;JARDIM PARAÍSO;02417140;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300057;INSTIT.;ASS BENEFICENTE DE APOIO A COMUNIDADE CARENTE UNIDA;;;;RUA ANTÔNIO QUARESMA;62    ;JARDIM SOARES;08460200;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BENEFICENTE DE APOIO A COMUNIDADE CARENTE;;;;;;;;;;;;;;;;;;;;;;;;;;
;300058;INSTIT.;ASS BENEFICENTE DE MAES ORDEM E PROGRESSO;;;;AVENIDA DEPUTADO CANTÍDIO SAMPAIO;4050  ;VILA SOUZA;02860001;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300059;INSTIT.;ASS BENEFICENTE DE VOLTA PARA CASA;;PENHA;;AVENIDA CANGAÍBA;4486  ;CANGAÍBA;03711003;;;;Ativa;18;CANGAIBA;1802;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;-23504993;-46554015;;28-dez-17
;300060;INSTIT.;ASS A FAMILIA UNIAO FAZ A FORCA;;;;RUA FRANCISCO MARGALL;78    ;JARDIM DAMASCENO;02879150;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300061;INSTIT.;ASS ADELAIDE FERREIRA;;;;RUA DIAMANTE PRETO;533   ;CHÁCARA CALIFÓRNIA;03317040;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300062;INSTIT.;ASS ADONAY DO JARDIM GUAIANASES;;;;RUA ARRAIAL DA PORTEIRA;38    ;JARDIM GUAIANAZES;08440020;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;300064;INSTIT.;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT;;;;RUA CÂNIO RIZZO;100   ;JARDIM TRUSSARDI;05519090;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFA;;;;;;;;;;;;;;;;;;;;;;;;;;
;300065;INSTIT.;ASSOCIAÇÃO ÁGUAS MARINHA;;;;RUA QUINTA DO PAÇO;39    ;VILA MARILENA;08411280;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS AGUAS MARINHA;;;;;;;;;;;;;;;;;;;;;;;;;;
;300066;INSTIT.;INSTITUTO ALEGRIA DE VIVER;;;;RUA MORRO DE SÃO SEBASTIÃO;131   ;PARQUE TAIPAS;02986100;;;;Ativa;;;;;;;22-jan-11;702;21-jan-11;;;ASS ALEGRIA DE VIVER;;;;;;;;;;;;;;;;;;;;;;;;;;
